# Renewables.ninja Wind power (Point API) - 56.488, 9.585 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "56.48807805443393", "lon": "9.584893065091526", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "2000", "height": "60", "turbine": "Vestas V90 2000", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,1779.027
2019-01-01 01:00,2019-01-01 02:00,1831.548
2019-01-01 02:00,2019-01-01 03:00,1875.441
2019-01-01 03:00,2019-01-01 04:00,1909.638
2019-01-01 04:00,2019-01-01 05:00,1932.125
2019-01-01 05:00,2019-01-01 06:00,1954.781
2019-01-01 06:00,2019-01-01 07:00,1962.557
2019-01-01 07:00,2019-01-01 08:00,1967.859
2019-01-01 08:00,2019-01-01 09:00,1975.222
2019-01-01 09:00,2019-01-01 10:00,1978.468
2019-01-01 10:00,2019-01-01 11:00,1979.516
2019-01-01 11:00,2019-01-01 12:00,1980.535
2019-01-01 12:00,2019-01-01 13:00,1980.701
2019-01-01 13:00,2019-01-01 14:00,1980.816
2019-01-01 14:00,2019-01-01 15:00,1977.730
2019-01-01 15:00,2019-01-01 16:00,1962.757
2019-01-01 16:00,2019-01-01 17:00,1929.398
2019-01-01 17:00,2019-01-01 18:00,1898.875
2019-01-01 18:00,2019-01-01 19:00,1876.014
2019-01-01 19:00,2019-01-01 20:00,1860.892
2019-01-01 20:00,2019-01-01 21:00,1842.029
2019-01-01 21:00,2019-01-01 22:00,1835.460
2019-01-01 22:00,2019-01-01 23:00,1837.580
2019-01-01 23:00,2019-01-02 00:00,1833.138
2019-01-02 00:00,2019-01-02 01:00,1802.360
2019-01-02 01:00,2019-01-02 02:00,1770.557
2019-01-02 02:00,2019-01-02 03:00,1735.555
2019-01-02 03:00,2019-01-02 04:00,1735.834
2019-01-02 04:00,2019-01-02 05:00,1697.091
2019-01-02 05:00,2019-01-02 06:00,1627.010
2019-01-02 06:00,2019-01-02 07:00,1542.613
2019-01-02 07:00,2019-01-02 08:00,1403.499
2019-01-02 08:00,2019-01-02 09:00,1288.157
2019-01-02 09:00,2019-01-02 10:00,1096.059
2019-01-02 10:00,2019-01-02 11:00,900.731
2019-01-02 11:00,2019-01-02 12:00,819.994
2019-01-02 12:00,2019-01-02 13:00,757.874
2019-01-02 13:00,2019-01-02 14:00,704.801
2019-01-02 14:00,2019-01-02 15:00,700.417
2019-01-02 15:00,2019-01-02 16:00,632.496
2019-01-02 16:00,2019-01-02 17:00,496.953
2019-01-02 17:00,2019-01-02 18:00,359.099
2019-01-02 18:00,2019-01-02 19:00,258.098
2019-01-02 19:00,2019-01-02 20:00,195.589
2019-01-02 20:00,2019-01-02 21:00,168.913
2019-01-02 21:00,2019-01-02 22:00,191.790
2019-01-02 22:00,2019-01-02 23:00,249.324
2019-01-02 23:00,2019-01-03 00:00,316.025
2019-01-03 00:00,2019-01-03 01:00,370.129
2019-01-03 01:00,2019-01-03 02:00,383.426
2019-01-03 02:00,2019-01-03 03:00,383.352
2019-01-03 03:00,2019-01-03 04:00,387.128
2019-01-03 04:00,2019-01-03 05:00,397.308
2019-01-03 05:00,2019-01-03 06:00,402.673
2019-01-03 06:00,2019-01-03 07:00,409.177
2019-01-03 07:00,2019-01-03 08:00,409.498
2019-01-03 08:00,2019-01-03 09:00,393.004
2019-01-03 09:00,2019-01-03 10:00,365.806
2019-01-03 10:00,2019-01-03 11:00,297.603
2019-01-03 11:00,2019-01-03 12:00,248.600
2019-01-03 12:00,2019-01-03 13:00,276.071
2019-01-03 13:00,2019-01-03 14:00,358.719
2019-01-03 14:00,2019-01-03 15:00,450.512
2019-01-03 15:00,2019-01-03 16:00,508.630
2019-01-03 16:00,2019-01-03 17:00,607.377
2019-01-03 17:00,2019-01-03 18:00,756.243
2019-01-03 18:00,2019-01-03 19:00,869.917
2019-01-03 19:00,2019-01-03 20:00,907.818
2019-01-03 20:00,2019-01-03 21:00,962.925
2019-01-03 21:00,2019-01-03 22:00,1042.033
2019-01-03 22:00,2019-01-03 23:00,1100.775
2019-01-03 23:00,2019-01-04 00:00,1122.581
2019-01-04 00:00,2019-01-04 01:00,1142.222
2019-01-04 01:00,2019-01-04 02:00,1166.481
2019-01-04 02:00,2019-01-04 03:00,1193.233
2019-01-04 03:00,2019-01-04 04:00,1172.718
2019-01-04 04:00,2019-01-04 05:00,1147.526
2019-01-04 05:00,2019-01-04 06:00,1136.908
2019-01-04 06:00,2019-01-04 07:00,1119.137
2019-01-04 07:00,2019-01-04 08:00,1096.231
2019-01-04 08:00,2019-01-04 09:00,1067.836
2019-01-04 09:00,2019-01-04 10:00,1011.078
2019-01-04 10:00,2019-01-04 11:00,1001.439
2019-01-04 11:00,2019-01-04 12:00,1119.503
2019-01-04 12:00,2019-01-04 13:00,1260.895
2019-01-04 13:00,2019-01-04 14:00,1427.821
2019-01-04 14:00,2019-01-04 15:00,1516.779
2019-01-04 15:00,2019-01-04 16:00,1584.623
2019-01-04 16:00,2019-01-04 17:00,1577.684
2019-01-04 17:00,2019-01-04 18:00,1576.320
2019-01-04 18:00,2019-01-04 19:00,1543.846
2019-01-04 19:00,2019-01-04 20:00,1510.675
2019-01-04 20:00,2019-01-04 21:00,1476.331
2019-01-04 21:00,2019-01-04 22:00,1461.399
2019-01-04 22:00,2019-01-04 23:00,1440.483
2019-01-04 23:00,2019-01-05 00:00,1393.962
2019-01-05 00:00,2019-01-05 01:00,1301.149
2019-01-05 01:00,2019-01-05 02:00,1234.400
2019-01-05 02:00,2019-01-05 03:00,1115.155
2019-01-05 03:00,2019-01-05 04:00,965.878
2019-01-05 04:00,2019-01-05 05:00,866.032
2019-01-05 05:00,2019-01-05 06:00,779.940
2019-01-05 06:00,2019-01-05 07:00,710.002
2019-01-05 07:00,2019-01-05 08:00,668.353
2019-01-05 08:00,2019-01-05 09:00,665.533
2019-01-05 09:00,2019-01-05 10:00,518.177
2019-01-05 10:00,2019-01-05 11:00,303.005
2019-01-05 11:00,2019-01-05 12:00,146.086
2019-01-05 12:00,2019-01-05 13:00,84.571
2019-01-05 13:00,2019-01-05 14:00,62.309
2019-01-05 14:00,2019-01-05 15:00,49.657
2019-01-05 15:00,2019-01-05 16:00,49.674
2019-01-05 16:00,2019-01-05 17:00,47.559
2019-01-05 17:00,2019-01-05 18:00,38.401
2019-01-05 18:00,2019-01-05 19:00,27.583
2019-01-05 19:00,2019-01-05 20:00,16.786
2019-01-05 20:00,2019-01-05 21:00,9.732
2019-01-05 21:00,2019-01-05 22:00,10.526
2019-01-05 22:00,2019-01-05 23:00,15.576
2019-01-05 23:00,2019-01-06 00:00,21.560
2019-01-06 00:00,2019-01-06 01:00,24.737
2019-01-06 01:00,2019-01-06 02:00,26.919
2019-01-06 02:00,2019-01-06 03:00,37.496
2019-01-06 03:00,2019-01-06 04:00,51.539
2019-01-06 04:00,2019-01-06 05:00,62.187
2019-01-06 05:00,2019-01-06 06:00,72.784
2019-01-06 06:00,2019-01-06 07:00,90.096
2019-01-06 07:00,2019-01-06 08:00,115.543
2019-01-06 08:00,2019-01-06 09:00,152.849
2019-01-06 09:00,2019-01-06 10:00,188.181
2019-01-06 10:00,2019-01-06 11:00,202.533
2019-01-06 11:00,2019-01-06 12:00,207.709
2019-01-06 12:00,2019-01-06 13:00,238.684
2019-01-06 13:00,2019-01-06 14:00,326.690
2019-01-06 14:00,2019-01-06 15:00,433.601
2019-01-06 15:00,2019-01-06 16:00,501.934
2019-01-06 16:00,2019-01-06 17:00,486.525
2019-01-06 17:00,2019-01-06 18:00,426.322
2019-01-06 18:00,2019-01-06 19:00,487.916
2019-01-06 19:00,2019-01-06 20:00,582.711
2019-01-06 20:00,2019-01-06 21:00,582.719
2019-01-06 21:00,2019-01-06 22:00,529.725
2019-01-06 22:00,2019-01-06 23:00,467.546
2019-01-06 23:00,2019-01-07 00:00,403.288
2019-01-07 00:00,2019-01-07 01:00,402.745
2019-01-07 01:00,2019-01-07 02:00,414.586
2019-01-07 02:00,2019-01-07 03:00,439.570
2019-01-07 03:00,2019-01-07 04:00,471.565
2019-01-07 04:00,2019-01-07 05:00,508.424
2019-01-07 05:00,2019-01-07 06:00,561.122
2019-01-07 06:00,2019-01-07 07:00,624.848
2019-01-07 07:00,2019-01-07 08:00,663.113
2019-01-07 08:00,2019-01-07 09:00,683.000
2019-01-07 09:00,2019-01-07 10:00,655.499
2019-01-07 10:00,2019-01-07 11:00,673.525
2019-01-07 11:00,2019-01-07 12:00,741.245
2019-01-07 12:00,2019-01-07 13:00,828.283
2019-01-07 13:00,2019-01-07 14:00,887.257
2019-01-07 14:00,2019-01-07 15:00,1104.828
2019-01-07 15:00,2019-01-07 16:00,1190.188
2019-01-07 16:00,2019-01-07 17:00,1230.037
2019-01-07 17:00,2019-01-07 18:00,1420.557
2019-01-07 18:00,2019-01-07 19:00,1402.524
2019-01-07 19:00,2019-01-07 20:00,1438.189
2019-01-07 20:00,2019-01-07 21:00,1382.204
2019-01-07 21:00,2019-01-07 22:00,1334.607
2019-01-07 22:00,2019-01-07 23:00,1270.862
2019-01-07 23:00,2019-01-08 00:00,1226.962
2019-01-08 00:00,2019-01-08 01:00,1305.529
2019-01-08 01:00,2019-01-08 02:00,1076.203
2019-01-08 02:00,2019-01-08 03:00,687.452
2019-01-08 03:00,2019-01-08 04:00,439.563
2019-01-08 04:00,2019-01-08 05:00,667.402
2019-01-08 05:00,2019-01-08 06:00,1098.059
