Timer ,måned ,time ,Aflæsningsdato,Gældende fra,Måler 1 Værdi [kWh],maåler 2 Værdi [kWh],måler 3 Værdi [kWh],Sum 61616 ,,,Time,Middelværdi / måler 1 over år) ,Middelværdi / måler 2 over år) ,Middelværdi / måler 3 over år) ,Dagskurve - middelværdi / år) ,Variation per time ,Spredning,dag,Måned ,dage ,Forbrug: Sum per dag ,,,,,
1,1,0,1/1/22 0:59,1/1/22 0:00,84.209999999999994,65.099999999999994,11.519,160.82900000000001,,,0,91.3,41.4,12.1,144.84,204.05,14.28,1,1,"01, Jan 01, 2022",3667.7709999999993,,,,,
1,1,1,1/1/22 2:00,1/1/22 0:59,79.950000000000003,65.799999999999997,11.76,157.50999999999999,,,1,90.2,41.0,12.0,143.29,211.72,14.55,2,1,"02, Jan 02, 2022",3727.5819999999985,,,,,
1,1,2,1/1/22 3:00,1/1/22 2:00,79.829999999999998,60.799999999999997,11.558,152.18799999999999,,,2,89.4,40.9,12.0,142.21,199.85,14.14,3,1,"03, Jan 03, 2022",4015.1669999999999,,,,,
1,1,3,1/1/22 3:59,1/1/22 3:00,79.349999999999994,59.899999999999999,11.585000000000001,150.83500000000001,,,3,89.2,41.0,11.9,142.13,204.64,14.31,4,1,"04, Jan 04, 2022",4081.424,,,,,
1,1,4,1/1/22 5:00,1/1/22 3:59,82.939999999999998,60,11.792,154.732,,,4,89.6,41.6,11.9,143.10,197.44,14.05,5,1,"05, Jan 05, 2022",4169.4640000000009,,,,,
1,1,5,1/1/22 6:00,1/1/22 5:00,82.790000000000006,56.200000000000003,11.602,150.59200000000001,,,5,90.3,43.5,11.9,145.76,149.16,12.21,6,1,"06, Jan 06, 2022",4290.4619999999986,,,,,
1,1,6,1/1/22 6:59,1/1/22 6:00,82.700000000000003,52.299999999999997,12.089,147.089,,,6,95.7,45.4,12.8,153.95,142.22,11.93,7,1,"07, Jan 07, 2022",4505.7760000000007,,,,,
1,1,7,1/1/22 8:00,1/1/22 6:59,88.430000000000007,55,12.646000000000001,156.07600000000002,,,7,106.4,47.9,17.4,171.70,412.60,20.31,8,1,"08, Jan 08, 2022",3972.7339999999999,,,,,
1,1,8,1/1/22 9:00,1/1/22 8:00,100.44,60,12.430999999999999,172.87100000000001,,,8,112.5,55.9,22.4,190.76,1012.28,31.82,9,1,"09, Jan 09, 2022",3887.6199999999999,,,,,
1,1,9,1/1/22 9:59,1/1/22 9:00,95.040000000000006,57.899999999999999,12.262,165.202,,,9,115.9,57.8,24.1,197.73,1271.38,35.66,10,1,"10, Jan 10, 2022",4293.2139999999999,,,,,
1,1,10,1/1/22 11:00,1/1/22 9:59,92.560000000000002,59,12.581,164.14099999999999,,,10,113.7,57.3,24.1,195.12,1263.74,35.55,11,1,"11, Jan 11, 2022",4314.6099999999997,,,,,
1,1,11,1/1/22 12:00,1/1/22 11:00,92.959999999999994,54.200000000000003,12.327999999999999,159.488,,,11,115.3,57.4,24.8,197.46,1445.81,38.02,12,1,"12, Jan 12, 2022",4350.7019999999993,,,,,
1,1,12,1/1/22 12:59,1/1/22 12:00,93.870000000000005,54.299999999999997,12.397,160.56700000000001,,,12,112.9,55.5,23.7,192.08,1193.84,34.55,13,1,"13, Jan 13, 2022",4437.808,,,,,
1,1,13,1/1/22 14:00,1/1/22 12:59,89.989999999999995,53.399999999999999,12.294,155.684,,,13,113.5,55.0,23.0,191.41,1184.41,34.42,14,1,"14, Jan 14, 2022",4256.674,,,,,
1,1,14,1/1/22 15:00,1/1/22 14:00,89.060000000000002,55.799999999999997,12.675000000000001,157.53500000000003,,,14,113.2,50.3,20.8,184.39,860.47,29.33,15,1,"15, Jan 15, 2022",3840.8270000000002,,,,,
1,1,15,1/1/22 15:59,1/1/22 15:00,86.239999999999995,56.200000000000003,12.952999999999999,155.393,,,15,107.2,45.8,17.1,170.14,389.94,19.75,16,1,"16, Jan 16, 2022",3873.5260000000007,,,,,
1,1,16,1/1/22 17:00,1/1/22 15:59,87.5,61.299999999999997,12.275,161.07500000000002,,,16,104.0,44.5,15.4,163.86,216.69,14.72,17,1,"17, Jan 17, 2022",4256.9830000000002,,,,,
